,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
123,1,전통시장,2130209,목사랑시장(목4동시장),314606,150328,164278,79845,35349,36079,51405,49378,62549,85511,65781,36425,35835,50682,40373,44312,44089,44347,44358,44244,46221,47035
124,1,전통시장,2130208,목동깨비시장(목3동시장),365526,158065,207461,46470,53318,69747,55835,56187,83967,67816,65202,50773,56188,77621,47926,51585,50664,50963,51601,52108,54548,54055
125,1,전통시장,2130207,신정1동 골목시장(신정제일시장),25767,12415,13353,4465,3268,3504,4671,4260,5597,3527,4963,4256,4384,5746,2892,3569,3594,3625,3666,3764,3912,3639
126,1,전통시장,2130206,신정3동 골목시장,48390,22615,25775,9004,5452,6001,8444,7945,11544,7757,8882,7119,7922,10844,5867,6975,6916,7042,7199,7236,6834,6189
127,1,전통시장,2130205,신곡종합시장(신월6동 골목시장),34329,15744,18585,5148,3713,5484,5683,5529,8770,7335,6416,4178,4553,6885,4965,4797,4848,4852,4881,4815,5086,5053
128,1,전통시장,2130204,경창시장,185152,86985,98166,40547,15965,25913,28972,25476,48280,46575,33183,21066,23053,34385,26890,26006,25913,26033,25757,25972,27807,27664
129,1,전통시장,2130203,서서울 골목형상점가,86118,39873,46245,9794,9382,13524,13335,13089,26995,19718,16275,10441,11406,16922,11354,11925,11793,11830,11668,11838,13370,13692
130,1,전통시장,2130202,신영시장,237301,108130,129171,28251,22877,32720,34901,38734,79817,50487,44799,30749,34787,48019,28462,33075,32816,32985,32489,33112,36669,36156
131,1,전통시장,2130201,월정로시장,170634,80670,89963,19460,16020,23894,25486,29165,56608,42126,27947,19829,22279,32641,25811,23846,24066,23654,24147,23629,25622,25671
132,1,전통시장,2130200,"신월7동 골목시장(약수시장, 우성상가)",65779,30708,35071,8693,6261,7661,10140,11147,21877,9583,11097,9135,11110,16397,8457,9413,9234,9211,9122,9288,9934,9577
133,1,전통시장,2130199,신월3동 골목시장,443893,223006,220887,62125,49491,59498,67544,72808,132428,139478,96158,48361,45187,62533,52177,62309,63181,62699,61185,60748,65525,68245
134,1,전통시장,2130198,아현시장,251710,111451,140259,44070,30737,41371,38619,39641,57270,54216,53546,33819,35608,45406,29114,36529,36643,36782,37778,37219,34506,32254
135,1,전통시장,2130197,마포시장,46302,22313,23990,4390,7454,10250,8888,7734,7586,5052,9724,9128,8957,9597,3845,7288,7199,7277,7540,7509,4989,4502
